Date,Open,High,Low,Close,Volume,Adj Close
2014-09-08,77.13,77.32,76.43,76.53,5938900,75.65044
2014-09-05,76.52,77.73,76.48,77.51,7841800,76.61919
2014-09-04,76.16,76.60,76.11,76.56,5282300,75.6801
2014-09-03,75.95,76.33,75.88,76.01,4709400,75.13643
2014-09-02,75.42,75.94,75.41,75.75,4532400,74.87941
2014-08-29,75.75,75.88,75.29,75.50,5080500,74.63229
2014-08-28,75.47,75.94,75.47,75.90,2923700,75.02769
2014-08-27,75.51,75.86,75.44,75.85,3200400,74.97826
2014-08-26,75.83,76.15,75.44,75.52,4222900,74.65205
2014-08-25,75.93,76.02,75.51,75.69,3393600,74.82011
2014-08-22,75.78,76.20,75.64,75.73,4137800,74.85964
2014-08-21,75.06,75.91,75.00,75.55,5260600,74.68172
2014-08-20,74.83,75.05,74.51,74.96,4898300,74.09849
2014-08-19,74.81,74.94,74.14,74.88,5047900,74.01941
2014-08-18,74.15,74.68,74.05,74.49,4015700,73.63389
2014-08-15,74.65,74.65,73.49,73.90,6942700,73.05067
2014-08-14,73.89,74.43,73.61,74.39,6136300,73.53504
2014-08-13,74.27,74.41,73.51,74.03,6619100,73.17918
2014-08-12,74.31,74.44,74.01,74.22,3928200,73.367
2014-08-11,74.29,74.60,74.02,74.36,4721400,73.50539
2014-08-08,74.06,74.73,73.85,74.67,4996300,73.81182
2014-08-07,74.34,74.81,73.76,73.95,7049000,73.1001
2014-08-06,73.19,74.29,73.18,74.20,7934800,73.34722
2014-08-05,73.31,73.52,72.77,73.34,10579900,72.02263
2014-08-04,73.38,73.63,73.06,73.54,5402100,72.21904
2014-08-01,73.32,73.88,73.22,73.54,8223900,72.21904
2014-07-31,73.99,74.25,73.54,73.58,9631600,72.25832
2014-07-30,75.88,75.92,74.67,74.78,9977200,73.43676
2014-07-29,75.21,76.01,75.15,75.44,6293500,74.08491
2014-07-28,75.43,75.93,75.36,75.71,5509900,74.35006
2014-07-25,76.19,76.36,75.80,75.97,3948400,74.60539
2014-07-24,76.68,76.79,76.19,76.35,7228300,74.97856
2014-07-23,76.63,77.06,76.59,76.99,3994300,75.60706
2014-07-22,76.84,76.89,76.40,76.64,4383200,75.26335
2014-07-21,76.76,76.91,76.48,76.77,3457600,75.39101
2014-07-18,76.62,77.10,76.51,77.09,4913300,75.70527
2014-07-17,76.58,77.05,76.44,76.61,4630300,75.23389
2014-07-16,76.90,77.05,76.70,76.86,3743500,75.4794
2014-07-15,76.56,76.93,76.56,76.84,4656900,75.45975
2014-07-14,77.13,77.25,76.48,76.55,4822900,75.17497
2014-07-11,76.87,76.97,76.56,76.82,4547500,75.44012
2014-07-10,76.91,77.57,76.91,77.06,5372500,75.6758
2014-07-09,76.77,77.33,76.62,77.21,6240100,75.82311
2014-07-08,76.09,76.98,76.03,76.65,7960500,75.27318
2014-07-07,75.69,76.21,75.55,76.07,5028000,74.70359
2014-07-03,75.61,76.05,75.52,75.75,2874000,74.38934
2014-07-02,75.26,75.90,75.25,75.62,4366800,74.26168
2014-07-01,75.27,75.42,74.75,75.28,6604500,73.92778
2014-06-30,75.40,75.69,74.94,75.07,6666600,73.72155
2014-06-27,74.80,75.38,74.67,75.34,13960800,73.9867
2014-06-26,75.52,75.61,74.70,74.91,6922100,73.56443
2014-06-25,75.76,75.84,75.28,75.62,4318200,74.26168
2014-06-24,76.03,76.21,75.68,75.97,5652300,74.60539
2014-06-23,75.56,75.94,75.30,75.79,4267400,74.42862
2014-06-20,76.16,76.17,75.12,75.68,11330700,74.32059
2014-06-19,75.88,76.28,75.80,75.87,5255300,74.50719
2014-06-18,75.04,75.96,74.92,75.70,6740700,74.34023
2014-06-17,75.29,75.42,74.92,74.99,6544200,73.64299
2014-06-16,75.11,75.48,75.02,75.34,3846900,73.9867
2014-06-13,75.67,75.76,75.12,75.28,4981500,73.92778
2014-06-12,76.05,76.19,75.58,75.73,5336600,74.36971
2014-06-11,76.55,76.74,76.05,76.16,4463300,74.79198
2014-06-10,76.81,76.94,76.51,76.62,3365700,75.24371
2014-06-09,77.07,77.76,76.70,77.01,5547600,75.62671
2014-06-06,77.46,77.59,77.07,77.21,4188900,75.82311
2014-06-05,77.05,77.44,76.87,77.32,4695800,75.93114
2014-06-04,76.60,77.30,76.53,77.13,6199900,75.74454
2014-06-03,76.74,76.97,76.36,76.71,7213600,75.33209
2014-06-02,76.58,77.11,76.47,76.76,4390400,75.3812
2014-05-30,76.06,76.81,76.01,76.77,5964800,75.39101
2014-05-29,75.67,76.19,75.57,75.98,4003500,74.61521
2014-05-28,75.38,75.94,75.34,75.53,5036900,74.17329
2014-05-27,75.71,75.81,75.29,75.59,5370800,74.23221
2014-05-23,75.56,75.75,75.43,75.61,3703600,74.25185
2014-05-22,75.79,75.92,75.24,75.39,5243700,74.0358
2014-05-21,75.94,75.96,75.27,75.66,5704100,74.30096
2014-05-20,76.36,76.37,75.52,75.69,7436700,74.33042
2014-05-19,77.11,77.13,76.50,76.61,6131300,75.23389
2014-05-16,77.00,77.38,76.65,77.01,7243800,75.62671
2014-05-15,76.28,77.44,76.25,76.83,13035800,75.44994
2014-05-14,79.05,79.05,78.07,78.74,5608300,77.32563
2014-05-13,79.17,79.37,78.99,79.14,4363700,77.71844
2014-05-12,78.95,79.23,78.65,79.15,5999800,77.72827
2014-05-09,78.52,79.28,78.52,79.20,4896400,77.77737
2014-05-08,78.00,78.83,78.00,78.69,4820600,77.27654
2014-05-07,77.85,78.10,77.53,77.96,6086200,76.55964
2014-05-06,78.33,78.39,77.97,78.01,5638900,76.13737
2014-05-05,78.86,78.95,78.51,78.62,4591000,76.73273
2014-05-02,79.60,79.76,79.01,79.12,5620000,77.22073
2014-05-01,79.73,79.73,79.16,79.70,5098000,77.7868
2014-04-30,79.59,79.93,79.51,79.71,6111700,77.79655
